PROPERTIES:;SonarFileName=../sonar_sim_cloud/forward200frames1x.avi;TIME0(sec)=0.000;numPings=200;SonarWidth=400;SonarHeight=600;FPS=5.000
SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=1;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0.20000000000000001110;0;1;0.975;-0.067;0.008;0.975;-0.067;0.008;0.975;-0.066;0.008;1.006;0.020;0.010;1.006;0.020;0.010;1.006;0.020;0.010;0.906;-0.221;0.038;0.906;-0.221;0.038;0.906;-0.221;0.038;0.539;-0.966;0.090;0.539;-0.966;0.090;0.540;-0.965;0.090;654;654;654;1134;1134;880;1000;1000.000;748.000;1000;1000.000;809.000;1;1;1;1;
0.40000000000000002220;1;2;0.948;0.229;-0.023;1.923;0.162;-0.016;1.923;0.162;-0.016;1.114;-0.011;-0.015;2.121;0.009;-0.005;2.121;0.009;-0.005;0.989;-0.379;0.053;1.895;-0.601;0.090;1.896;-0.599;0.090;0.547;-0.717;0.098;1.086;-1.683;0.189;1.090;-1.680;0.189;648;648;648;1123;1123;863;1000;1000.000;766.000;1000;1000.000;844.000;1;1;1;1;
0.59999999999999997780;2;3;1.010;-0.025;-0.000;2.934;0.138;-0.016;2.934;0.137;-0.016;0.996;0.079;-0.003;3.117;0.088;-0.008;3.117;0.088;-0.008;1.015;0.049;-0.028;2.910;-0.552;0.063;2.911;-0.549;0.063;0.620;-0.072;0.059;1.706;-1.755;0.248;1.710;-1.749;0.248;652;652;652;1138;1138;863;1000;1000.000;759.000;1000;1000.000;838.000;1;1;1;1;
0.80000000000000004441;3;4;1.000;0.026;-0.008;3.933;0.164;-0.023;3.934;0.163;-0.023;0.849;-0.191;0.011;3.966;-0.103;0.004;3.966;-0.103;0.004;0.852;-0.068;0.006;3.762;-0.620;0.069;3.763;-0.616;0.069;0.670;0.032;-0.005;2.376;-1.723;0.243;2.380;-1.715;0.243;633;633;633;1121;1121;859;1000;1000.000;751.000;1000;1000.000;840.000;1;1;1;1;
1.00000000000000000000;4;5;0.992;0.002;0.002;4.925;0.166;-0.021;4.926;0.165;-0.021;1.051;-0.007;-0.008;5.016;-0.110;-0.004;5.016;-0.110;-0.004;0.835;-0.019;-0.015;4.597;-0.639;0.053;4.598;-0.634;0.053;0.669;-0.070;0.014;3.045;-1.793;0.256;3.050;-1.781;0.256;642;642;642;1128;1128;858;1000;1000.000;745.000;1000;1000.000;852.000;1;1;1;1;
1.19999999999999995559;5;6;0.988;0.037;-0.005;5.914;0.203;-0.026;5.914;0.201;-0.026;1.073;0.078;-0.017;6.089;-0.032;-0.022;6.089;-0.032;-0.022;0.993;-0.215;0.023;5.591;-0.854;0.077;5.592;-0.848;0.077;0.668;0.038;-0.007;3.713;-1.755;0.249;3.717;-1.741;0.249;660;660;660;1127;1127;908;1000;1000.000;747.000;1000;1000.000;845.000;1;1;1;1;
1.39999999999999991118;6;7;1.008;0.120;-0.013;6.922;0.323;-0.039;6.922;0.320;-0.039;0.979;-0.202;0.023;7.068;-0.233;0.001;7.068;-0.234;0.001;0.908;-0.401;0.065;6.499;-1.255;0.142;6.501;-1.246;0.142;0.618;-0.182;0.045;4.331;-1.937;0.294;4.336;-1.920;0.294;638;638;638;1126;1126;893;1000;1000.000;755.000;1000;1000.000;840.000;1;1;1;1;
1.60000000000000008882;7;8;1.005;0.045;-0.006;7.927;0.368;-0.045;7.927;0.365;-0.045;1.169;0.635;-0.064;8.237;0.401;-0.063;8.237;0.399;-0.063;0.595;0.023;0.004;7.094;-1.232;0.146;7.096;-1.222;0.146;0.695;-0.189;0.075;5.025;-2.126;0.369;5.032;-2.104;0.369;651;649;649;1137;1137;894;1000;1000.000;738.000;1000;1000.000;827.000;1;1;1;1;
1.80000000000000004441;8;9;1.023;0.086;-0.010;8.950;0.454;-0.056;8.950;0.450;-0.056;0.899;0.136;-0.027;9.136;0.537;-0.089;9.137;0.534;-0.089;0.974;0.005;-0.011;8.068;-1.227;0.135;8.070;-1.215;0.135;1.040;0.843;-0.135;6.065;-1.283;0.234;6.068;-1.257;0.234;667;667;667;1137;1137;870;1000;1000.000;744.000;1000;1000.000;830.000;1;1;1;1;
2.00000000000000000000;9;10;1.012;0.075;-0.011;9.962;0.529;-0.067;9.962;0.524;-0.067;0.961;0.401;-0.062;10.097;0.939;-0.151;10.099;0.933;-0.151;0.813;-0.213;0.041;8.880;-1.441;0.176;8.883;-1.426;0.176;0.580;0.110;-0.069;6.645;-1.174;0.165;6.648;-1.146;0.165;658;657;657;1134;1134;862;1001;1001.000;750.000;1000;1000.000;823.000;1;1;1;1;
